Section,Category,Key,Description,Details
CONNECTION_LOGIC,Bước 9,Orphan Removal,Đoạn không kết nối tới End Node?,Xóa toàn bộ orphan
CONNECTION_LOGIC,Quyết Định,Click Cùng Node 2 Lần,Deselect,Hủy lựa chọn hiện tại
CONNECTION_LOGIC,Quyết Định,Click Neighbor Cùng Màu,Kết nối tiếp tục,Nếu thỏa Degree Check
CONNECTION_LOGIC,Quyết Định,Click Neighbor Khác Màu,Kết nối 1 ô rồi dừng,Không lan tiếp
CONNECTION_LOGIC,Quyết Định,Neighbor Đã Có 2 Kết Nối,Toggle Remove,Xóa cả đường hiện tại
CONNECTION_LOGIC,Quyết Định,End Node Nhận 2 Kết Nối,Remove Non-End Cũ,Giữ End-to-End connection
CONNECTION_LOGIC,Quyết Định,Phát Hiện Degree-3,Remove 2 Oldest,Prevent illegal state
WIN_CHECK,Step 1,SolveHighlight(),Gọi SolveHighlight() trên tất cả node,Tô sáng tất cả đường hoàn thành
WIN_CHECK,Step 2,Duyệt Node,FOR EACH node kiểm tra điều kiện,End Node: count==1 / Intermediate: count==2
WIN_CHECK,Step 3,Kiểm Tra Overlap,Có 2 đường cùng ô?,Nếu YES → return false
WIN_CHECK,Step 4,Kiểm Tra Connectivity,Mỗi đường kết nối từ End → End?,Có orphan? → return false
WIN_CHECK,Kết Quả,Tất Cả ✓,isWinning = true,UnlockLevel / ShowWinScreen / DisableInput
WIN_CHECK,Kết Quả,Có ✗,isWinning = false,KeepGameActive
GAME_FLOW,Main Menu,Start,Title Panel + Play button,Click Play → Stage Select
GAME_FLOW,Stage Select,Screen,7 buttons (Stage 1..7),Click Stage → Level Select
GAME_FLOW,Level Select,Screen,50 buttons (Locked/Unlocked),Click Level → Load Gameplay
GAME_FLOW,Gameplay,Loading,Load LevelData + Spawn Board,Initialize game state
GAME_FLOW,Gameplay,Main Loop,Player interaction,Input handling + Connection logic + CheckWin()
GAME_FLOW,Gameplay,Action 1,Click Restart,Reset Board → Stay in Gameplay
GAME_FLOW,Gameplay,Action 2,Click Back,Return to Main Menu
GAME_FLOW,Win Screen,Trigger,CheckWin() == true,Show win screen after winning
GAME_FLOW,Win Screen,Display,YOU WIN! + Highlight paths + stats,Unlock next level
GAME_FLOW,Win Screen,Action 1,Click Next Level,Go to Level Select
GAME_FLOW,Win Screen,Action 2,Click Restart,Reset board in Gameplay
GAME_FLOW,Win Screen,Action 3,Click Back,Go to Stage Select
PROGRESSION,Level Structure,Level Naming,LevelXY,X=Stage (1-7) Y=Level (1-50)
PROGRESSION,Level Structure,Tổng Level,350 levels,7 stages × 50 levels
PROGRESSION,Unlock System,Quy Tắc,Level 1.1 mở sẵn,Để mở Level N → phải hoàn thành Level N-1
PROGRESSION,Unlock System,Storage,PlayerPrefs: Level{Stage}{Level},0 = locked 1 = unlocked
PROGRESSION,Unlock System,Loop,Sau Stage 7,Vòng lại Stage 1 (infinite)
DIFFICULTY_EDGE,Min Edges,Stage 1,2 edges,Beginner puzzle
DIFFICULTY_EDGE,Min Edges,Stage 2,3 edges,Easy puzzle
DIFFICULTY_EDGE,Min Edges,Stage 3,4 edges,Easy-Medium puzzle
DIFFICULTY_EDGE,Min Edges,Stage 4,5 edges,Medium puzzle
DIFFICULTY_EDGE,Min Edges,Stage 5,6 edges,Medium-Hard puzzle
DIFFICULTY_EDGE,Min Edges,Stage 6,7 edges,Hard puzzle
DIFFICULTY_EDGE,Min Edges,Stage 7,8 edges,Very hard puzzle
DIFFICULTY_EDGE,Max Edges,Stage 1,3 edges,Beginner puzzle
DIFFICULTY_EDGE,Max Edges,Stage 2,4 edges,Easy puzzle
DIFFICULTY_EDGE,Max Edges,Stage 3,5 edges,Easy-Medium puzzle
DIFFICULTY_EDGE,Max Edges,Stage 4,6 edges,Medium puzzle
DIFFICULTY_EDGE,Max Edges,Stage 5,7 edges,Medium-Hard puzzle
DIFFICULTY_EDGE,Max Edges,Stage 6,8 edges,Hard puzzle
DIFFICULTY_EDGE,Max Edges,Stage 7,9 edges,Very hard puzzle
RULES,Rule 1,Match Colors,Chỉ nối các điểm cùng màu,Mỗi cặp phải có đường liên tục
RULES,Rule 2,No Overlapping,Không cho phép đường giao nhau,Nếu giao nhau → đường bị loại
RULES,Rule 3,End Node Constraint,End Node phải có đúng 1 kết nối,Nếu có kết nối thứ 2 → remove kết nối cũ
RULES,Rule 4,Intermediate Node Constraint,Non-end nodes tối đa 2 kết nối,Ngăn chặn độ bậc > 2
RULES,Rule 5,Degree-3 Prevention,Ngăn chặn node có 3 kết nối,Khi xảy ra → xóa 2 kết nối cũ nhất
RULES,Rule 6,Color Barrier,Không trộn màu trong cùng 1 đường,Nếu khác màu → đường dừng lại
RULES,Rule 7,Connectivity Requirement,Tất cả đường trung gian phải nối tới End Node,Không để orphan
RULES,Rule 8,Auto-removal,Các đường không hợp lệ tự động bị xóa,Cascade delete khi cần
VISUAL,Display,Background,Lưới 1×1 cells màu xám/trắng,Reference visual grid
VISUAL,Display,End Nodes,Điểm tròn đầy đủ màu bán kính ~0.2 unit,Các chấm đầu mút
VISUAL,Display,Intermediate Nodes,4 sprite hướng (Up/Down/Left/Right),Hiển thị theo hướng kết nối
VISUAL,Display,Edges,Đường nối 4 hướng màu theo colorId,Path visualization
VISUAL,Display,Highlight,Sprite semi-transparent alpha=0.4 theo chuột,Real-time preview
VISUAL,Animation,Path Drawing,Vẽ đường smooth khi kết nối,Feedback visual
VISUAL,Animation,Node Pop-in,Node hiệu ứng xuất hiện,Initial feedback
VISUAL,Animation,Win Celebration,Tô sáng + flash + particle (optional),Victory feedback
VISUAL,Animation,Button Feedback,Feedback khi nhấn nút,Interactive feedback
AUDIO,SFX,Connection,Beep/chime sound,When path connects
AUDIO,SFX,Wrong Move,Error buzz sound,When invalid move
AUDIO,SFX,Deletion,Pop/whoosh sound,When path deleted
AUDIO,Music,Win,Victory fanfare,When puzzle solved
AUDIO,Music,Background,Ambient music,During gameplay
