PHẦN,NỘI DUNG,MÔ TẢ CHI TIẾT
Game Mechanic,Mechanic 5,"Color Bonus System - ShouldPlayColorBonusAnimation() tính bonus điểm khi tất cả 3 shape được đặt"

Game Mechanic,Mechanic 6,"Dynamic Color Changing - UpdateSquareColor() thay đổi màu lưới khi đạt threshold"

Game Mechanic,Mechanic 7,"Game Over Detection - CheckIfPlayerLost() phát hiện khi không shape nào có thể đặt"

Game Mechanic,Mechanic 8,"Shape Queue System - ShapeStorage.RequestNewShapes() tạo 3 shape mới"

Game Mechanic,Mechanic 9,"Best Score Persistence - BinaryDataStream lưu/load best score"

Game Mechanic,Mechanic 10,"UI Event System - GameEvent sử dụng static delegate để gửi events"

Core Loop,Bước 1,"Game Start - Grid khởi tạo, ShapeStorage tạo 3 hình khối, UI sẵn sàng"

Core Loop,Bước 2,"Shape Selection - Người chơi chọn 1 trong 3 hình khối để kéo-thả"

Core Loop,Bước 3,"Drag & Drop - Kéo hình khối, hiển thị hover effect trên grid"

Core Loop,Bước 4,"Shape Placement - Kiểm tra tính hợp lệ, đặt hình khối, deactivate"

Core Loop,Bước 5,"Completion Check - Kiểm tra hoàn thành dòng/cột/box, xóa, cộng điểm"

Core Loop,Bước 6,"Game Over Check - Kiểm tra nếu không shape nào có thể đặt"

Core Loop,Bước 7,"Next Shape Generation - Tạo hình khối mới, quay lại Bước 2"
